id,plant,replicate,length
1,3,1,20700.993
2,3,2,21394.332
3,3,3,20795.58
4,4,1,18526.923
5,4,2,19231.859
6,4,3,18175.151
7,5,1,16565.119
8,5,2,18372.426
9,5,3,18190.25
10,6,1,20470.36
11,6,2,20257.373
12,6,3,18610.761
13,7,1,17579.897
14,7,2,18079.225
15,7,3,17110.17
16,8,1,14825.14
17,8,2,17488.317
18,8,3,16718.336
19,10,1,17293.114
20,10,2,18927.797
21,10,3,17283.054
22,12,1,18435.928
23,12,2,17777.68
24,12,3,17036.544
25,13,1,16368.944
26,13,2,16136.966
27,13,3,17682.928
28,14,1,20968.024
29,14,2,19437.193
30,14,3,20921.912
31,15,1,22160.503
32,15,2,22756.378
33,15,3,21259.716
34,16,1,23277.343
35,16,2,21533.226
36,16,3,22109.017
37,17,1,16834.248
38,17,2,18143.264
39,17,3,17346.838
40,18,1,20857.319
41,18,2,21603.947
42,18,3,20607.241
43,19,1,25581.892
44,19,2,25174.826
45,19,3,25176.05
46,20,1,20496.76
47,20,2,21228.854
48,20,3,20389.012
49,21,1,21640.56
50,21,2,20627.077
51,21,3,21864.236
52,22,1,23009.244
53,22,2,24689.316
54,22,3,23879.248
55,24,1,19738.584
56,24,2,21300.47
57,24,3,21550.237
58,26,1,15333.755
59,26,2,14880.364
60,26,3,15957.174
61,27,1,17703.357
62,27,2,16633.802
63,27,3,17687.106
64,28,1,21191.165
65,28,2,20033.621
66,28,3,19986.183
67,29,1,22618.28
68,29,2,23995.118
69,29,3,22261.462
70,30,1,27070.535
71,30,2,24463.801
72,30,3,24995.01
73,31,1,19063.44
74,31,2,17712.462
75,31,4,17349.85
76,32,1,13846.473
77,32,2,14505.982
78,32,3,14514.835
79,33,1,17642.083
80,33,2,14792.503
81,33,3,15366.07
82,34,1,17036.511
83,34,2,15849.823
84,34,3,16191.003
85,35,1,15750.469
86,35,2,16305.903
87,35,3,16525.778
88,36,1,20843.157
89,36,2,22206.316
90,36,3,21847.228
91,37,1,16536.873
92,37,2,18037.657
93,37,3,17087.862
94,38,1,17711.979
95,38,2,17112.57
96,38,3,18226.219
97,39,1,16647.416
98,39,2,18752.156
99,39,3,17796.883
100,40,1,17443.821
101,40,2,20232.564
102,40,3,20536.046
103,41,1,21709.553
104,41,2,18592.655
105,41,3,20796.976
106,42,1,20001.857
107,42,2,18225.68
108,42,3,18551.994
109,43,1,22417.68
110,43,2,24270.266
111,43,3,24771.409
112,44,1,17299.286
113,44,2,18128.666
114,44,3,18473.134
115,45,1,23369.193
116,45,2,22974.244
117,45,3,24190.989
118,46,1,18561.868
119,46,2,17857.932
120,46,3,19776.206
121,47,1,8702.324
122,47,2,11602.166
123,47,3,13170.679
124,48,1,16951.984
125,48,2,17369.216
126,48,3,17722.731
127,49,1,24667.419
128,49,2,25289.54
129,49,3,24248.835
130,50,1,18126.573
131,50,2,17186.658
132,50,3,16946.164
133,54,1,20781.308
134,54,2,21541.961
135,54,3,19661.776
136,56,1,21993.279
137,56,2,21276.374
138,56,3,21560.486
139,60,1,15110.059
140,60,2,15667.775
141,60,3,16033.015
142,63,1,20215.765
143,63,2,18661.748
144,63,3,19348.199
145,64,1,16271.455
146,64,2,16238.88
147,64,3,16310.884
148,66,1,16072.392
149,66,2,15029.161
150,66,3,15713.749
151,71,1,16032.509
152,71,2,15859.259
153,71,3,15435.05
154,72,3,13501.605
155,72,2,15112.593
156,72,1,14837.496
157,73,3,16606.387
158,73,2,15928.659
159,73,1,16385.875
160,74,3,27079.124
161,74,2,23972.431
162,74,1,23741.276
163,75,3,20815.112
164,75,2,21068.756
165,75,1,20556.762
166,76,3,19262.297
167,76,2,39378.015
168,76,1,17911.551
169,77,4,22118.99
170,77,3,20159.974
171,77,1,20400.178
172,78,3,24290.803
173,78,2,22108.164
174,78,1,23096.577
175,79,3,22622.892
176,79,2,22299.527
177,79,1,23467.699
178,80,3,23712.758
179,80,2,23040.488
180,80,1,20800.944
181,81,3,25208.903
182,81,2,25883.589
183,81,1,24734.798
184,82,6,19698.981
185,82,4,18326.645
186,82,2,17561.313
187,83,4,19287.685
188,83,3,19689.149
189,83,1,18788.444
190,84,3,20089.76
191,84,2,19464.358
192,84,1,20362.104
193,85,3,17289.683
194,85,2,16192.017
195,85,1,16412.39
196,86,3,16849.842
197,86,2,15910.084
198,86,1,16709.042
199,91,6,16572.474
200,91,5,16267.924
201,91,4,17922.582
202,92,3,21906.961
203,92,2,20533.151
204,92,1,22330.498
205,93,3,15670.677
206,93,2,14183.323
207,93,1,16090.583
208,94,3,22403.428
209,94,2,21224.417
210,94,1,21120.236
211,95,3,21535.891
212,95,2,21692.335
213,95,1,21264.225
214,97,6,17694.002
215,97,5,17435.622
216,97,4,17808.83
217,98,9,15197.544
218,98,8,12552.431
219,98,7,15537.262
220,100,4,16954.252
221,100,3,18246.447
222,100,2,18471.186
223,101,3,16035.117
224,101,2,16205.738
225,101,1,14979.813
226,102,8,21384.907
227,102,7,17960.293
228,103,7,19570.351
229,104,3,17660.879
230,104,2,18573.875
231,104,1,16819.594
232,105,3,21523.893
233,105,2,21259.971
234,105,1,21625.123
235,106,3,18825.879
236,106,2,17976.366
237,106,1,18580.469
238,107,3,26278.237
239,107,2,24690.294
240,107,1,26618.074
241,108,3,17194.851
242,108,2,16868.152
243,108,1,17315.835
244,109,3,16999.554
245,109,2,16655.339
246,109,1,17078.096
247,110,3,18390.227
248,110,2,19113.923
249,110,1,17944.193
250,111,3,18252.5
251,111,2,20528.329
252,111,1,19638.221
253,112,3,22711.636
254,112,2,21705.369
255,112,1,22537.659
256,113,3,18867.462
257,113,2,19457.009
258,113,1,19738.554
259,115,3,24455.72
260,115,2,23992.81
261,115,1,25890.215
262,116,3,22577.224
263,116,2,21365.315
264,116,1,20947.851
265,117,3,16412.124
266,117,2,15957.249
267,117,1,17965.391
268,118,3,18149.595
269,118,2,18882.125
270,118,1,20239.308
271,120,3,18670.846
272,120,2,18858.586
273,120,1,17074.176
274,122,3,19640.167
275,122,2,19224.441
276,122,1,19460.497
277,123,3,16691.666
278,123,2,16288.903
279,123,1,16086.714
280,125,3,23951.765
281,125,2,22816.974
282,125,1,21171.741
283,126,3,23054.525
284,126,2,21881.252
285,126,1,23556.656
286,127,3,22047.932
287,127,2,21275.718
288,127,1,23909.734
289,128,3,16191.445
290,128,2,16613.649
291,128,1,16073.052
292,129,3,15068.842
293,129,2,15784.924
294,129,1,15209.677
295,130,6,15827.557
296,130,5,16151.193
297,130,4,16719.432
298,131,6,16066.469
299,131,5,17943.991
300,131,4,14766.885
301,132,6,16836.04
302,132,4,17555.56
303,132,3,16663.589
304,133,3,14077.665
305,133,2,14714.92
306,133,1,14634.3
307,134,4,18532.783
308,134,3,21877.06
309,134,2,18674.464
310,135,3,17413.324
311,135,2,18067.656
312,135,1,18726.174
313,136,4,19785.974
314,136,3,20398.337
315,136,1,18689.456
316,137,4,22672.368
317,137,3,23414.556
318,137,1,20284.453
319,138,6,16286.435
320,138,5,17165.822
321,138,4,17249.876
322,139,4,23322.74
323,139,3,24688.642
324,139,1,25937.369
325,140,1,25021.992
326,140,3,24851.185
327,140,4,22544.741
328,141,1,19672.711
329,141,2,18584.084
330,141,3,19535.455
331,142,1,18334.233
332,142,3,18977.71
333,142,4,15544.257
334,143,1,16964.481
335,143,2,17010.781
336,143,3,17135.533
337,144,1,20757.417
338,144,2,19754.141
339,144,3,20055.598
340,145,4,17955.093
341,145,5,15877.983
342,145,6,16037.031
343,146,3,24211.301
344,146,4,22159.207
345,146,6,19592.627
346,147,1,19936.107
347,147,2,21540.157
348,147,3,19184.252
349,148,2,23322.899
350,148,3,24332.107
351,148,4,24469.757
352,149,1,18581.3
353,149,2,19535.931
354,149,4,19142.543
355,150,1,19453.903
356,150,2,19529.596
357,150,3,20601.004
358,151,2,19378.093
359,151,3,19133.952
360,151,4,18517.66
361,152,1,17564.265
362,152,2,16802.072
363,152,3,17173.679
364,153,1,18561.866
365,153,2,18689.465
366,153,3,18608.875
367,154,1,20877.764
368,154,2,20838.593
369,154,4,26135.235
370,156,2,19928.166
371,156,3,19178.191
372,156,5,18324.937
373,157,1,16713.327
374,157,2,18969.094
375,157,3,18204.817
376,158,2,21644.414
377,158,3,21957.179
378,158,4,21517.422
379,159,1,15946.051
380,159,2,14736.381
381,159,4,15077.742
382,160,2,21656.09
383,160,3,20283.579
384,160,4,19561.419
385,161,4,19308.8
386,161,5,18834.422
387,161,6,20477.694
388,162,2,16619.171
389,162,3,17473.684
390,162,4,17188.705
391,163,2,20150.064
392,163,3,18935.486
393,163,4,19632.786
394,164,1,20425.132
395,164,2,19081.876
396,164,3,20299.115
397,165,1,15293.556
398,165,3,15283.621
399,165,4,16567.043
400,166,1,20023.299
401,166,3,20964.847
402,166,4,21510.476
403,167,1,18325.325
404,167,2,17746.67
405,167,4,18990.989
406,168,1,17311.828
407,168,2,17067.781
408,168,4,16530.449
409,169,2,18210.371
410,169,3,18382.364
411,169,4,17411.243
412,170,5,19455.168
413,170,6,20537.004
414,170,7,20400.906
415,171,2,20182.582
416,171,3,20121.411
417,171,4,20704.168
418,172,4,15535.479
419,172,5,16313.348
420,172,6,16660.285
421,173,1,23005.088
422,173,2,20010.951
423,173,3,20332.781
424,174,1,17881.036
425,174,2,17878.21
426,174,4,18244.748
427,175,2,17345.359
428,175,3,17985.587
429,175,4,17990.062
430,176,1,20700.911
431,176,3,19650.805
432,176,4,22274.482
433,177,2,18641.944
434,177,3,18203.466
435,177,4,19385.938
436,178,1,20252.178
437,178,3,17740.215
438,178,4,18693.771
439,179,1,20701.487
440,179,3,19072.163
441,179,4,19515.947
442,180,2,20427.017
443,180,3,20343.94
444,180,4,18749.377
445,181,1,18977.623
446,181,3,18517.793
447,181,4,20561.949
448,182,1,20009.689
449,182,2,20158.407
450,182,3,20512.708
451,183,2,20358.533
452,183,3,19566.741
453,183,4,19825.479
454,184,1,20136.709
455,184,2,20817.93
456,184,4,22404.717
457,185,1,22152.234
458,185,2,21810.908
459,185,4,20885.482
460,186,1,18024.254
461,186,2,18750.956
462,186,3,17149.477
463,187,1,19196.667
464,187,2,18560.136
465,187,4,19098.653
466,188,2,16574.265
467,188,3,16431.579
468,188,4,16667.225
469,189,1,22381.795
470,189,2,22218.979
471,189,4,22540.076
472,190,2,22539.084
473,190,3,22887.759
474,190,4,22588.363
475,191,2,18739.799
476,191,3,20267.901
477,191,4,18886.377
478,193,1,19503.436
479,193,3,19696.457
480,193,4,18406.845
481,194,2,21586.057
482,194,3,21189.323
483,194,4,22236.452
484,195,1,17850.694
485,195,2,18942.254
486,195,3,19276.923
487,196,2,27063.123
488,196,3,26295.306
489,196,4,26540.698
490,197,1,18317.175
491,197,2,17300.078
492,197,3,16792.964
493,198,1,18505.499
494,198,2,16905.193
495,198,3,17809.302
496,199,2,21679.288
497,199,3,21095.376
498,199,4,21318.609
499,200,1,21677.687
500,200,3,21857.796
501,200,4,21381.969
502,201,1,24953.42
503,201,3,23838.853
504,201,4,26539.086
505,202,1,17043.141
506,202,2,14713.594
507,202,3,15872.566
508,203,1,22037.507
509,203,3,21946.15
510,203,4,21836.591
511,204,1,23384.313
512,204,3,24828.025
513,204,4,22192.735
514,205,1,24253.507
515,205,2,23342.552
516,205,4,21546.31
517,206,1,15974.697
518,206,3,15507.475
519,206,4,16276.334
520,207,1,19105.267
521,207,3,18648.437
522,207,4,18644.419
523,208,1,15958.111
524,208,2,17065.85
