id,plant,replicate,length
1,1,1,18240
2,10,1,23853
3,10,2,25484
4,10,3,22977
5,100,2,22980
6,100,3,23381
7,100,4,23230
8,101,2,22739
9,101,3,22422
10,102,7,22254
11,102,8,18389
12,103,7,22940
13,103,9,20176
14,104,1,23319
15,104,2,24353
16,104,3,23744
17,105,1,29021
18,105,3,29332
19,106,1,24454
20,106,2,24463
21,106,3,25921
22,107,2,33360
23,107,3,34803
24,108,1,24517
25,108,2,24571
26,108,3,24388
27,109,1,23363
28,109,2,22464
29,109,3,23190
30,110,2,24474
31,110,3,24104
32,111,1,24342
33,111,2,24523
34,111,3,24605
35,112,1,31194
36,112,2,29933
37,113,1,27317
38,113,2,26994
39,113,3,26901
40,115,1,32647
41,115,2,30012
42,115,3,31211
43,116,2,27925
44,116,3,28860
45,117,1,22135
46,117,2,22599
47,117,3,23876
48,118,1,26120
49,118,2,26905
50,118,3,25267
51,12,1,24424
52,12,2,22349
53,12,3,22438
54,120,1,23281
55,120,2,24234
56,120,3,25380
57,122,1,27364
58,122,2,26384
59,122,3,26045
60,123,1,23383
61,123,2,23095
62,123,3,23732
63,125,1,30002
64,125,3,33146
65,126,1,31891
66,126,2,31027
67,126,3,31361
68,127,1,31102
69,127,2,30243
70,127,3,31599
71,128,1,23672
72,128,3,24077
73,129,1,20281
74,129,2,22226
75,129,3,22036
76,13,2,19744
77,13,3,23372
78,130,4,23890
79,130,5,22751
80,130,6,22967
81,131,4,23870
82,131,5,24689
83,131,6,23198
84,132,3,23792
85,132,4,24446
86,132,6,23861
87,133,1,19036
88,133,2,19737
89,134,2,25522
90,134,3,30569
91,134,4,25685
92,135,1,24877
93,135,2,24866
94,135,3,24363
95,136,1,26793
96,136,3,27412
97,136,4,28368
98,137,1,28388
99,137,3,30979
100,137,4,30962
101,138,4,24642
102,138,5,24028
103,138,6,24284
104,139,1,34704
105,139,3,33975
106,14,1,22276
107,14,2,22832
108,14,3,22140
109,140,1,33502
110,140,3,34786
111,140,4,32054
112,141,1,28436
113,141,2,26403
114,142,1,25855
115,142,3,27409
116,143,1,24356
117,143,2,24927
118,143,3,24668
119,144,1,28340
120,144,2,27063
121,144,3,27513
122,145,4,25148
123,145,5,22189
124,145,6,23386
125,146,3,30089
126,146,4,28125
127,146,6,28037
128,147,1,25543
129,147,2,28069
130,148,2,32591
131,148,4,33295
132,149,1,25588
133,149,2,28053
134,149,4,27119
135,15,1,28776
136,15,2,28573
137,15,3,26192
138,150,1,28294
139,150,2,27720
140,150,3,29428
141,151,2,27588
142,151,3,26162
143,151,4,26841
144,152,1,21416
145,152,2,21625
146,152,3,21880
147,153,1,25689
148,153,2,26441
149,153,3,26956
150,154,2,28949
151,154,4,36190
152,156,2,25526
153,156,3,26166
154,156,5,23348
155,157,1,25270
156,157,2,27817
157,157,3,26156
158,158,2,30879
159,158,3,30969
160,158,4,29954
161,159,2,21925
162,159,4,22982
163,16,1,31251
164,16,2,30175
165,16,3,29839
166,160,2,29440
167,160,3,28667
168,160,4,27589
169,161,5,26628
170,161,6,27500
171,162,2,23907
172,162,3,25888
173,162,4,24856
174,163,2,28922
175,163,3,26573
176,163,4,29090
177,164,1,28726
178,164,2,27263
179,164,3,28684
180,165,3,21530
181,166,1,28764
182,166,3,29316
183,166,4,29348
184,167,1,25958
185,167,4,25349
186,168,1,24381
187,168,2,24411
188,168,4,23423
189,169,2,25293
190,169,3,25880
191,169,4,25179
192,17,1,23796
193,17,2,25367
194,170,5,27772
195,170,6,29983
196,170,7,28360
197,171,2,27551
198,171,3,26877
199,171,4,28246
200,172,5,23400
201,172,6,22868
202,173,1,32011
203,173,2,28105
204,173,3,29013
205,174,1,25272
206,174,2,26076
207,174,4,25824
208,175,2,24543
209,175,3,25244
210,175,4,25607
211,176,1,28587
212,176,3,28214
213,176,4,31767
214,177,2,26195
215,177,3,26195
216,177,4,25867
217,178,1,27771
218,178,3,25034
219,178,4,27523
220,179,3,27575
221,179,4,28137
222,18,1,28137
223,18,2,29463
224,18,3,28292
225,180,2,28414
226,180,3,28453
227,180,4,27411
228,181,1,22537
229,181,4,24665
230,182,1,27904
231,182,2,27266
232,182,3,28380
233,183,2,25515
234,183,3,24532
235,183,4,22291
236,184,1,27231
237,184,2,26556
238,184,4,22379
239,185,1,32424
240,185,2,31865
241,185,4,30371
242,186,1,24231
243,186,2,26603
244,186,3,23015
245,187,1,26942
246,187,2,27007
247,187,4,26780
248,188,2,23555
249,188,3,23468
250,188,4,23896
251,189,1,31525
252,189,2,30616
253,189,3,31639
254,19,1,33936
255,19,2,34318
256,19,3,34284
257,190,2,31289
258,190,3,31930
259,190,4,32497
260,191,2,26590
261,191,3,28238
262,193,1,27757
263,193,4,25919
264,194,2,28997
265,194,3,27766
266,194,4,29293
267,195,1,26195
268,195,3,26287
269,196,2,35788
270,196,3,34626
271,196,4,37043
272,197,1,25262
273,197,3,22042
274,198,1,25828
275,198,2,23379
276,198,3,25855
277,199,2,30057
278,199,3,29363
279,20,1,28359
280,20,2,28535
281,20,3,28454
282,200,1,28812
283,200,3,28108
284,200,4,29188
285,201,1,34131
286,201,3,32212
287,201,4,34475
288,202,1,24334
289,202,2,21313
290,202,3,23892
291,203,1,31105
292,203,3,30871
293,203,4,30223
294,204,1,32280
295,204,3,34176
296,204,4,30760
297,205,1,33200
298,205,2,32126
299,205,4,29521
300,206,1,23865
301,206,3,23496
302,206,4,23737
303,207,1,26842
304,207,3,25878
305,207,4,25629
306,208,1,22300
307,208,2,23880
308,209,1,29689
309,209,2,30923
310,209,3,29849
311,21,1,28596
312,21,3,28953
313,210,1,21723
314,210,2,22718
315,210,3,22912
316,211,1,22612
317,211,2,22656
318,211,4,21912
319,212,1,30093
320,212,3,29181
321,212,4,29906
322,213,2,26441
323,213,3,27403
324,213,4,28117
325,214,1,32755
326,214,2,32408
327,214,3,32811
328,215,1,25614
329,215,3,25348
330,215,4,26056
331,216,1,23781
332,216,2,22634
333,216,3,24683
334,217,4,41725
335,218,1,23533
336,218,2,23885
337,218,3,24299
338,219,1,31347
339,219,3,32370
340,219,4,34530
341,22,1,27846
342,22,2,24574
343,22,3,28552
344,220,2,25031
345,220,3,24073
346,220,4,26435
347,221,1,30805
348,221,2,29436
349,221,4,27908
350,222,3,21001
351,222,4,21892
352,223,3,25415
353,223,4,27063
354,224,2,27979
355,224,3,27633
356,224,4,27652
357,225,2,35149
358,225,3,35561
359,226,2,33551
360,226,4,34357
361,227,1,28232
362,227,3,28334
363,227,4,30504
364,228,1,31700
365,228,3,32356
366,228,4,30500
367,229,1,28729
368,229,2,28375
369,229,4,28416
370,230,1,28334
371,230,2,28309
372,230,3,28701
373,231,1,25959
374,231,2,22942
375,231,4,26333
376,232,1,26568
377,232,2,25746
378,233,2,23920
379,233,3,23023
380,233,4,21858
381,234,2,25765
382,234,3,26692
383,234,4,27084
384,235,4,25742
385,236,1,30498
386,236,2,30985
387,236,3,30494
388,237,2,31029
389,238,1,24611
390,238,2,24423
391,238,3,24813
392,239,2,23568
393,239,3,26991
394,239,4,25097
395,24,1,24957
396,24,2,25925
397,24,3,26744
398,26,1,20013
399,26,2,22156
400,26,3,22499
401,27,1,22797
402,27,3,23145
403,28,1,30269
404,28,2,27764
405,29,1,30992
406,29,2,31642
407,30,1,35845
408,30,2,30986
409,30,3,33495
410,31,1,26034
411,31,3,25011
412,32,2,21690
413,32,3,20716
414,33,1,24485
415,33,2,21903
416,33,3,21883
417,34,1,23999
418,34,2,22836
419,34,3,22938
420,35,1,26102
421,35,3,24475
422,36,1,29230
423,36,2,30158
424,37,1,23552
425,37,2,26708
426,37,3,23799
427,38,1,25832
428,38,2,25569
429,38,3,26823
430,39,1,26210
431,39,2,26526
432,39,3,27066
433,4,1,25346
434,4,2,26274
435,4,3,26436
436,40,1,26169
437,40,2,27968
438,40,3,29368
439,41,1,30904
440,41,3,30038
441,42,1,28470
442,42,2,25824
443,43,1,30271
444,43,3,33672
445,44,1,24493
446,44,2,25506
447,44,3,26232
448,45,1,30625
449,45,2,31202
450,46,1,25411
451,46,2,25636
452,46,3,27306
453,47,1,17477
454,47,2,19311
455,47,3,19347
456,48,1,24327
457,48,2,23790
458,48,3,25141
459,49,1,33261
460,49,2,32382
461,49,3,32017
462,50,1,25124
463,54,2,26391
464,54,3,26796
465,56,1,30350
466,56,2,28410
467,56,3,28475
468,59,1,20311
469,59,2,22362
470,59,3,21673
471,60,1,21802
472,60,2,23349
473,62,7,21828
474,62,8,19916
475,62,9,16999
476,63,1,28228
477,63,2,26630
478,63,3,27825
479,64,1,24372
480,64,2,23672
481,64,3,25413
482,65,6,17947
483,65,7,22901
484,65,8,24561
485,66,1,22650
486,66,2,21743
487,66,3,21550
488,67,1,19113
489,67,3,20359
490,67,5,19824
491,68,1,18151
492,68,2,17631
493,68,4,15203
494,68,5,14075
495,68,6,15303
496,69,7,20547
497,69,8,18883
498,69,9,19426
499,71,1,25125
500,71,2,23800
501,71,3,23229
502,718,1,22017
503,718,2,23152
504,718,3,23982
505,719,1,28329
506,719,2,29622
507,719,3,28978
508,72,1,21309
509,72,2,21457
510,72,3,19458
511,720,1,24079
512,720,2,24594
513,720,3,24127
514,721,5,32384
515,721,6,31900
516,721,7,31278
517,722,5,26560
518,722,6,22803
